A00,Sodium Attack,Nb1a3
A00,Sodium Attack: Durkin Gambit,Nb1a3 Pe7e5 Na3c4 Nb8c6 Pe2e4 Pf7f5
A00,Sodium Attack: Celadon Variation,Nb1a3 Pe7e5 Pd2d3 Bf8xa3 Pb2xa3 Pd7d5 Pe2e3 Pc7c5 Ra1b1
A00,Sodium Attack: Chenoboskion Variation,Nb1a3 Pg7g6 Pg2g4
A00,Van Geet Opening,Nb1c3
A00,Van Geet Opening: Tübingen Gambit,Nb1c3 Ng8f6 Pg2g4
A00,Van Geet Opening: Laroche Gambit,Nb1c3 Pb7b5
A00,Van Geet Opening: Sicilian Two Knights,Nb1c3 Pc7c5 Ng1f3 Nb8c6 Pd2d4 Pc5xd4 Nf3xd4
A00,Van Geet Opening: Düsseldorf Gambit,Nb1c3 Pc7c5 Pb2b4
A00,Van Geet Opening: Novosibirsk Variation,Nb1c3 Pc7c5 Pd2d4 Pc5xd4 Qd1xd4 Nb8c6 Qd4h4
A00,Van Geet Opening: Twyble Attack,Nb1c3 Pc7c5 Ra1b1
A00,Van Geet Opening: Venezolana Variation,Nb1c3 Pd7d5 Pd2d3 Ng8f6 Pg2g3
A00,Van Geet Opening: Sleipnir Gambit,Nb1c3 Pd7d5 Pe2e3 Pe7e5 Pd2d4 Bf8b4
A00,Van Geet Opening: Hector Gambit,Nb1c3 Pd7d5 Pe2e4 Pd5xe4 Bf1c4
A00,Van Geet Opening: Dunst-Perrenet Gambit,Nb1c3 Pd7d5 Pe2e4 Pd5xe4 Pd2d3
A00,Van Geet Opening: Dougherty Gambit,Nb1c3 Pd7d5 Pe2e4 Pd5xe4 Pf2f3
A00,Van Geet Opening: Melleby Gambit,Nb1c3 Pd7d5 Pf2f4 Pd5d4 Nc3e4 Pc7c5
A00,Van Geet Opening: Pfeiffer Gambit,Nb1c3 Pd7d5 Pf2f4 Pd5d4 Nc3e4 Pe7e5
A00,"Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit",Nb1c3 Pd7d5 Pf2f4 Pd5d4 Nc3e4 Pe7e5 Ng1f3
A00,Van Geet Opening: Jendrossek Gambit,Nb1c3 Pd7d5 Pf2f4 Pd5d4 Nc3e4 Pf7f5 Ne4f2 Ng8f6 Ng1f3 Pc7c5 Pb2b4
A00,Van Geet Opening: Damhaug Gambit,Nb1c3 Pd7d5 Pf2f4 Pe7e5
A00,Van Geet Opening: Warsteiner Gambit,Nb1c3 Pd7d5 Pf2f4 Pg7g5
A00,Van Geet Opening: Hergert Gambit,Nb1c3 Pd7d6 Pf2f4 Pe7e5 Pf4xe5 Nb8c6
A00,Van Geet Opening: Reversed Nimzowitsch,Nb1c3 Pe7e5
A00,Van Geet Opening: Billockus-Johansen Gambit,Nb1c3 Pe7e5 Ng1f3 Bf8c5
A00,Van Geet Opening: Napoleon Attack,Nb1c3 Pe7e5 Ng1f3 Nb8c6 Pd2d4
A00,Van Geet Opening: Gladbacher Gambit,Nb1c3 Pe7e5 Pb2b3 Pd7d5 Pe2e4 Pd5xe4 Pd2d3
A00,Van Geet Opening: Reversed Scandinavian,Nb1c3 Pe7e5 Pd2d4 Pe5xd4 Qd1xd4 Nb8c6 Qd4a4
A00,Van Geet Opening: Hulsemann Gambit,Nb1c3 Pe7e5 Pe2e3 Pd7d5 Qd1h5 Bc8e6
A00,Van Geet Opening: Liebig Gambit,Nb1c3 Pe7e5 Pe2e3 Pd7d5 Qd1h5 Ng8f6
A00,Van Geet Opening: Nowokunski Gambit,Nb1c3 Pe7e5 Pf2f4 Pe5xf4 Pe2e4
A00,Van Geet Opening: Kluever Gambit,Nb1c3 Pf7f5 Pe2e4 Pf5xe4 Pd2d3
A00,Van Geet Opening: Myers Attack,Nb1c3 Pg7g6 Ph2h4
A04,Zukertort Opening,Ng1f3
A04,Zukertort Opening: Drunken Cavalry Variation,Ng1f3 Nb8a6 Pe2e4 Ng8h6
A04,Zukertort Defense: Sicilian Knight Variation,Ng1f3 Nb8a6 Pe2e4 Pc7c5
A04,Zukertort Opening: Black Mustang Defense,Ng1f3 Nb8c6
A05,Zukertort Opening,Ng1f3 Ng8f6
A05,Zukertort Opening,Ng1f3 Ng8f6 Nb1c3 Nb8c6
A05,Zukertort Opening: Myers Polish Attack,Ng1f3 Ng8f6 Pa2a4 Pg7g6 Pb2b4
A05,Zukertort Opening: Nimzo-Larsen Variation,Ng1f3 Ng8f6 Pb2b3
A05,Polish Opening: Zukertort System,Ng1f3 Ng8f6 Pb2b4
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",Ng1f3 Ng8f6 Pc2c4 Pc7c6 Pb2b3 Pd7d5 Bc1b2
A12,"Réti Opening: Anglo-Slav Variation, New York System",Ng1f3 Ng8f6 Pc2c4 Pc7c6 Pb2b3 Pd7d5 Bc1b2 Bc8f5
A05,Zukertort Opening: Quiet System,Ng1f3 Ng8f6 Pe2e3
A05,Zukertort Opening: Lemberger Gambit,Ng1f3 Ng8f6 Pe2e4
A05,King's Indian Attack: Spassky Variation,Ng1f3 Ng8f6 Pg2g3 Pb7b5
A05,King's Indian Attack,Ng1f3 Ng8f6 Pg2g3 Pd7d5
A07,King's Indian Attack: Yugoslav Variation,Ng1f3 Ng8f6 Pg2g3 Pd7d5 Bf1g2 Pc7c6 O-O Bc8g4
A05,King's Indian Attack: Symmetrical Defense,Ng1f3 Ng8f6 Pg2g3 Pg7g6
A05,King's Indian Attack: Wahls Defense,Ng1f3 Ng8f6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 O-O O-O Pd2d3 Pd7d5
A05,Zukertort Opening: Double Fianchetto Attack,Ng1f3 Ng8f6 Pg2g3 Pg7g6 Pb2b3 Bf8g7 Bc1b2 O-O Bf1g2 Pd7d6 O-O
A05,King's Indian Attack: Smyslov Variation,Ng1f3 Ng8f6 Pg2g3 Pg7g6 Pb2b4
A04,Zukertort Defense: Kingside Variation,Ng1f3 Ng8h6 Pd2d4 Pg7g6
A04,Zukertort Opening: Ware Defense,Ng1f3 Pa7a5
A04,Zukertort Opening: St. George Defense,Ng1f3 Pa7a6
A04,Zukertort Opening: Polish Defense,Ng1f3 Pb7b5
A04,Zukertort Opening: Queenside Fianchetto Variation,Ng1f3 Pb7b6
A04,Zukertort Opening: Sicilian Invitation,Ng1f3 Pc7c5
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation",Ng1f3 Pc7c5 Pc2c4 Pg7g6 Pd2d4 Bf8g7 Pe2e4 Qd8a5
A42,Pterodactyl Defense,Ng1f3 Pc7c5 Pc2c4 Pg7g6 Pd2d4 Bf8g7 Pe2e4 Qd8a5 Nb1c3 Pd7d6
A04,"Modern Defense: Semi-Averbakh Variation, Polish Variation",Ng1f3 Pc7c5 Pc2c4 Pg7g6 Pd2d4 Bf8g7 Pe2e4 Qd8b6
A04,Zukertort Opening: Speelsmet Gambit,Ng1f3 Pc7c5 Pd2d4 Pc5xd4 Pe2e3
A04,Colle System: Rhamphorhynchus Variation,Ng1f3 Pc7c5 Pe2e3 Pg7g6 Pd2d4 Bf8g7 Pd4xc5 Qd8a5
A04,Zukertort Opening: Slav Invitation,Ng1f3 Pc7c6
A06,Zukertort Opening,Ng1f3 Pd7d5
A06,Zukertort Opening: Reversed Mexican Defense,Ng1f3 Pd7d5 Nb1c3
A06,Zukertort Opening: The Potato,Ng1f3 Pd7d5 Pa2a4
A06,Nimzo-Larsen Attack: Classical Variation,Ng1f3 Pd7d5 Pb2b3
A06,Nimzo-Larsen Attack: Norfolk Gambit,Ng1f3 Pd7d5 Pb2b3 Ng8f6 Bc1b2 Pc7c5 Pe2e4
A12,"Réti Opening: Anglo-Slav Variation, Bled Variation",Ng1f3 Pd7d5 Pb2b3 Ng8f6 Bc1b2 Pg7g6 Pc2c4 Pc7c6
A06,Zukertort Opening: Regina-Nu Gambit,Ng1f3 Pd7d5 Pb2b3 Pc7c5 Pc2c4 Pd5xc4 Nb1c3
A06,Nimzo-Larsen Attack: Norfolk Gambit,Ng1f3 Pd7d5 Pb2b3 Pc7c5 Pe2e4
A09,Réti Opening,Ng1f3 Pd7d5 Pc2c4
A09,Réti Opening: Zilbermints Gambit,Ng1f3 Pd7d5 Pc2c4 Pb7b5
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",Ng1f3 Pd7d5 Pc2c4 Pc7c6 Pb2b3
A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",Ng1f3 Pd7d5 Pc2c4 Pc7c6 Pb2b3 Bc8g4
A09,Réti Opening: Advance Variation,Ng1f3 Pd7d5 Pc2c4 Pd5d4
A09,"Réti Opening: Advance Variation, Michel Gambit",Ng1f3 Pd7d5 Pc2c4 Pd5d4 Pb2b4 Pc7c5
A09,Réti Opening: Reversed Blumenfeld Gambit,Ng1f3 Pd7d5 Pc2c4 Pd5d4 Pe2e3 Pc7c5 Pb2b4
A09,Réti Opening: Penguin Variation,Ng1f3 Pd7d5 Pc2c4 Pd5d4 Rh1g1
A09,Réti Opening: Réti Accepted,Ng1f3 Pd7d5 Pc2c4 Pd5xc4
A09,"Réti Opening: Réti Gambit, Keres Variation",Ng1f3 Pd7d5 Pc2c4 Pd5xc4 Pe2e3 Bc8e6
A14,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation, Stonewall Line",Ng1f3 Pd7d5 Pc2c4 Pe7e6 Pg2g3 Ng8f6 Bf1g2 Bf8e7 O-O O-O Pb2b3 Pc7c6 Bc1b2
A06,Zukertort Opening: Old Indian Attack,Ng1f3 Pd7d5 Pd2d3
D02,Queen's Pawn Game: Anti-Torre,Ng1f3 Pd7d5 Pd2d4 Bc8g4
D63,"Queen's Gambit Declined: Orthodox Defense, Capablanca Variation",Ng1f3 Pd7d5 Pd2d4 Ng8f6 Pc2c4 Pe7e6 Nb1c3 Bf8e7 Bc1g5 O-O Pe2e3 Nb8d7 Ra1c1 Pb7b6 Pc4xd5 Pe6xd5 Bf1b5
D64,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack",Ng1f3 Pd7d5 Pd2d4 Ng8f6 Pc2c4 Pe7e6 Nb1c3 Bf8e7 Bc1g5 O-O Pe2e3 Nb8d7 Ra1c1 Pc7c6 Qd1c2 Nf6e4
A06,Zukertort Opening: Pachman Gambit,Ng1f3 Pd7d5 Pe2e3 Pc7c5 Pc2c4 Pd5xc4 Pb2b3
A07,King's Indian Attack,Ng1f3 Pd7d5 Pg2g3
A07,King's Indian Attack: Keres Variation,Ng1f3 Pd7d5 Pg2g3 Bc8g4
A07,King's Indian Attack: Keres Variation,Ng1f3 Pd7d5 Pg2g3 Bc8g4 Bf1g2 Nb8d7
A07,King's Indian Attack: Sicilian Variation,Ng1f3 Pd7d5 Pg2g3 Pc7c5
A08,King's Indian Attack: Sicilian Variation,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2
A08,King's Indian Attack: French Variation,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Nb8c6
A08,Zukertort Opening: Reversed Grünfeld,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Nb8c6 Pd2d4
A08,Zukertort Opening: Reversed Grünfeld,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Nb8c6 Pd2d4 Ng8f6
A08,Zukertort Opening: Reversed Grünfeld,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Nb8c6 Pd2d4 Ng8f6 O-O
A08,Zukertort Opening: Reversed Grünfeld,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Nb8c6 Pd2d4 Pe7e6 O-O
A08,King's Indian Attack: Sicilian Variation,Ng1f3 Pd7d5 Pg2g3 Pc7c5 Bf1g2 Ng8f6 O-O Pe7e6 Pd2d3
A07,King's Indian Attack: Omega-Delta Gambit,Ng1f3 Pd7d5 Pg2g3 Pe7e5
A07,King's Indian Attack: Double Fianchetto,Ng1f3 Pd7d5 Pg2g3 Pg7g6
